"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels",
"0.0","ABCDEFGHIJKLM","0+","2.165×1021 y 61 , % 2β- = 100","","","","","",
"1313.06 7","ABC EFGHIJKLM","2+","0.360 ps 14","1313.02 10","100","E2","0.0","0+",
"1694.42 7","AB  EF HIJKLM","4+","1.293 ns 17","381.359 7","100","E2","1313.06","2+",
"1891.74 7","B  EF HI KLM","6+","2.95 µs 17 , % IT = 100","197.316 7","100","E2","1694.42","4+",
"2125.72 8","ABC    HI","3+,4+","","431.38 12 ,    812.63 8","24.7 7 ,   100.0 19",",","1694.42,   1313.06","4+, 2+",
"2261.56 7","BC  F HI   M","6+","≤ 50 ps","369.813 23 ,    567.0 5","100 15 ,     6 4","M1+E2, [E2]","1891.74,   1694.42","6+, 4+",
"2289.55 9","A     GH","2+","","976.5 2 ,   2289.6 2","25.6 19 ,   100 5",", (E2)","1313.06,      0.0","2+, 0+",
"2414.76 12","A     GHI","2+","","1101.4 3 ,   2414.6 2","7.8 10 ,   100 3",", E2","1313.06,      0.0","2+, 0+",
"2444.43 9","BC    HI","5","≤ 50 ps","182.7 2 ,    318.6 2 ,    552.69 14 ,    750.05 7","10.5 24 ,     9.1 7 ,    14.4 10 ,   100 4",", , , D","2261.56,   2125.72,   1891.74,   1694.42","6+, 3+,4+, 6+, 4+",
"2465.05 13","BC    HI","","","339.4 2 ,    770.75 15","15.5 11 ,   100 3",",","2125.72,   1694.42","3+,4+, 4+",
"2559.91 9","A C    H","(4+)","","270.2 3 ,    434.18 11 ,    865.5 3 ,   1246.84 10","9.1 24 ,    35 3 ,    28.2 24 ,   100 5",", , ,","2289.55,   2125.72,   1694.42,   1313.06","2+, 3+,4+, 4+, 2+",
"2582.4 10","A","0+","","2582.4","","E0","0.0","0+",
"2608.47 9","BC","4+,5+","≤ 50 ps","164.12 16 ,    346.81 10 ,    482.80 10 ,    716.7 3 ,    914.1 2","12 3 ,    86 5 ,    50 3 ,    28.0 20 ,   100 6",", , M1, ,","2444.43,   2261.56,   2125.72,   1891.74,   1694.42","5, 6+, 3+,4+, 6+, 4+",
"2634.19 8","A C    H","1+,2+","","219.33 15 ,    344.72 10 ,   1321.08 10 ,   2634.2 2","3.3 3 ,     9.7 8 ,   100 7 ,    27.2 13",", M1+E2, M1(+E2),","2414.76,   2289.55,   1313.06,      0.0","2+, 2+, 2+, 0+",
"2849.44 11","A      H","(1,2+)","","1536.4 1 ,   2849.2 7","100 6 ,     2.6 10",",","1313.06,      0.0","2+, 0+",
"2866.8 3","F      M","(8+)","","975.1 3","100","","1891.74","6+",
"2869.02 11","A     GH","(2+)","","309.1 2 ,   1555.97 15 ,   2868.9 2","8.6 9 ,    11.9 9 ,   100 9",", , (E2)","2559.91,   1313.06,      0.0","(4+), 2+, 0+",
"2979.09 22","A      H","1+,2+","","1666.0 4 ,   2979.1 3","57 9 ,   100 9",",","1313.06,      0.0","2+, 0+",
"3.16E+3 2","H","","","","","","","",
"3211.92 20","A C","(1,2+)","","362.5 4 ,   3211.8 3","25 4 ,   100 7",",","2849.44,      0.0","(1,2+), 0+",
"3229.2 3","F      M","8+","","967.6 3","100","E2","2261.56","6+",
"3275.26 14","A      H","3-","","1962.2 3","100","","1313.06","2+",
"3350.0 10","GH","(1,2)","","3350","100","D,Q","0.0","0+",
"3483.8 3","F      M","10+","","254.6 3 ,    617.0 3","100 16 ,    89 14","E2,","3229.2,   2866.8","8+, (8+)",
"3626.1 7","GH","1","","2313,   3626 1","100 16 ,    32",", D","1313.06,      0.0","2+, 0+",
"3675 1","G","2","","3675","100","Q","0.0","0+",
"3738 1","G","1","","3738 1","100","D","0.0","0+",
"3780 20","H","(4-)","","","","","","",
"3830.0 4","F      M","(9-)","","600.8 4","100","","3229.2","8+",
"3830.08 18","B","(6+,5)","","1385.6 4 ,   1937.4 5 ,   2135.8 2","26 4 ,    30 6 ,   100 7",", ,","2444.43,   1891.74,   1694.42","5, 6+, 4+",
"3872.84 21","BC","(6+,5)","","2178.4 2","100","","1694.42","4+",
"3873.18 14","A C    H","(3-)","","597.8 2 ,   1583.5 2","100 11 ,    70 9",",","3275.26,   2289.55","3-, 2+",
"4057.63 15","B     H","(6+,5)","","1592.8 2 ,   1796.0 2 ,   2165.8 15 ,   2362.8 3","36 4 ,   100 7 ,    10 9 ,    59 6",", , ,","2465.05,   2261.56,   1891.74,   1694.42",", 6+, 6+, 4+",
"4150 20","H","(2-)","","","","","","",
"4269.36 10","A      H","2(+)","","396.0 2 ,    994.2 2 ,   1057.4 4 ,   1399.9 5 ,   1635.2 2 ,   1709.4 2 ,   1979.6 3 ,   2956.3 2 ,   4269.5 2","26 3 ,   100 5 ,    18 3 ,     6.6 17 ,    23.1 25 ,    43 3 ,     8.3 12 ,    44.6 25 ,    21.9 13",", , , , , , , ,","3873.18,   3275.26,   3211.92,   2869.02,   2634.19,   2559.91,   2289.55,   1313.06,      0.0","(3-), 3-, (1,2+), (2+), 1+,2+, (4+), 2+, 2+, 0+",
"4320.1 10","A","0+","","4320","","E0","0.0","0+",
"4380 20","H","4-","","","","","","",
"4380.4 4","F      M","(8+)","","1151.2 3","100","","3229.2","8+",
"4454.10 17","A      H","1(-),2(+)","","1178.6 3 ,   1820.0 3 ,   2039.2 4 ,   3141.1 3 ,   4454.5 7","32 5 ,    31 4 ,    23 4 ,   100 6 ,     5.8 15",", , , ,","3275.26,   2634.19,   2414.76,   1313.06,      0.0","3-, 1+,2+, 2+, 2+, 0+",
